abundance_controls,secondary_structure_fraction_sheet,zeta_potential,nsp_secondary_structure_coil,fraction_exposed_exposed_k,frac_aa_a
-11.473305514975355,0.2591240875912408,-63.0,0.58,0.08484848484848485,0.06569343065693431
-11.473305514975355,0.2677345537757437,39.0,0.439,0.1386138613861386,0.04805491990846682
-11.473305514975355,0.2772727272727273,12.0,0.477,0.1192307692307692,0.09545454545454546
-11.473305514975355,0.2764976958525346,-49.0,0.415,0.1781609195402299,0.1013824884792627
-8.111649363276479,0.2317518248175183,-12.0,0.593,0.1134328358208955,0.04927007299270073
-11.473305514975355,0.1987327188940092,-12.0,0.906,0.04715762273901809,0.06048387096774194
-11.473305514975355,0.259927797833935,-11.0,0.491,0.0935672514619883,0.08664259927797834
-0.434564857645705,0.2679324894514768,12.0,0.314,0.1226765799256506,0.05907172995780591
-11.473305514975355,0.2125,-11.0,0.662,0.09322033898305085,0.025
-6.166970619114295,0.152991452991453,29.0,0.666,0.07604017216642754,0.04444444444444445
-11.473305514975355,0.2073578595317726,-11.0,0.472,0.1407407407407407,0.0568561872909699
-11.473305514975355,0.3370044052863436,39.0,0.41,0.1073059360730594,0.08480176211453745
-2.158371842726997,0.1945812807881773,12.0,0.659,0.09230769230769231,0.0480295566502463
-11.473305514975355,0.2632978723404256,-11.0,0.846,0.05333333333333334,0.0425531914893617
-11.473305514975355,0.25,-11.0,0.806,0.1374407582938389,0.05277777777777778
-11.473305514975355,0.2110091743119266,-12.0,0.569,0.03614457831325301,0.07339449541284404
-11.473305514975355,0.2538071065989848,-49.0,0.589,0.1347517730496454,0.08121827411167512
-11.473305514975355,0.1917098445595855,-63.0,0.679,0.1746031746031746,0.07253886010362694
-11.473305514975355,0.174496644295302,-7.0,0.523,0.1318681318681319,0.04697986577181208
-11.473305514975355,0.254653130287648,-42.0,0.83,0.01820128479657387,0.06641285956006768
-11.473305514975355,0.3149171270718232,39.0,0.337,0.0970873786407767,0.0718232044198895
-11.473305514975355,0.2522361359570662,12.0,0.483,0.117056856187291,0.04293381037567084
-11.473305514975355,0.2110091743119266,-49.0,0.569,0.03614457831325301,0.07339449541284404
-11.473305514975355,0.2443820224719101,-63.0,0.539,0.05303030303030303,0.08707865168539326
-11.473305514975355,0.0,-12.0,0.803,0.1042654028436019,0.0
-11.473305514975355,0.2006437768240343,12.0,0.626,0.09365079365079365,0.04184549356223176
-2.3008803451891118,0.191304347826087,39.0,0.658,0.1083333333333333,0.05797101449275362
-11.473305514975355,0.282051282051282,29.0,0.363,0.09848484848484848,0.09829059829059829
-11.473305514975355,0.2509931383170819,-63.0,0.61,0.03944315545243619,0.08739617190321415
-2.392051863294559,0.319327731092437,12.0,0.481,0.06382978723404255,0.09453781512605042
-11.473305514975355,0.2155688622754491,-63.0,0.689,0.08450704225352113,0.05389221556886228
-11.473305514975355,0.2409381663113007,-12.0,0.458,0.1132075471698113,0.05970149253731343
-0.9633218528083137,0.3309859154929577,-63.0,0.239,0.1219512195121951,0.1408450704225352
-9.781853199619576,0.2203389830508475,-12.0,0.61,0.09411764705882353,0.03389830508474576
-11.473305514975355,0.2904290429042904,-11.0,0.644,0.08636363636363636,0.0627062706270627
-11.473305514975355,0.2887029288702929,-11.0,0.469,0.01526717557251908,0.1255230125523012
-11.473305514975355,0.139344262295082,29.0,0.73,0.04838709677419355,0.04918032786885246
-11.473305514975355,0.3319838056680162,-63.0,0.198,0.0945945945945946,0.0931174089068826
-11.473305514975355,0.2448036951501155,-49.0,0.589,0.07751937984496124,0.07621247113163972
-11.473305514975355,0.2919508867667122,-12.0,0.461,0.1723356009070295,0.04774897680763984
-11.473305514975355,0.3536585365853658,12.0,0.187,0.1172413793103448,0.1016260162601626
-11.473305514975355,0.1936785474108944,-12.0,0.915,0.05238828967642527,0.09145931405514458
-11.473305514975355,0.3483535528596187,-12.0,0.402,0.1339491916859122,0.08492201039861352
-11.473305514975355,0.2686980609418282,-12.0,0.529,0.03243243243243243,0.06371191135734072
-11.473305514975355,0.1952,-49.0,0.589,0.08285714285714285,0.0496
-11.473305514975355,0.3079268292682927,-49.0,0.527,0.03829787234042553,0.08536585365853659
-11.473305514975355,0.2608695652173913,-12.0,0.735,0.164021164021164,0.05217391304347826
-11.473305514975355,0.2256267409470752,12.0,0.593,0.1407766990291262,0.04456824512534819
-11.473305514975355,0.1943127962085308,-7.0,0.583,0.1103448275862069,0.03791469194312796
-11.473305514975355,0.2655367231638418,29.0,0.497,0.1301939058171745,0.09887005649717515
-4.0705336323119585,0.2864238410596026,29.0,0.326,0.1352941176470588,0.06456953642384106
-11.473305514975355,0.0,-11.0,0.766,0.09152542372881356,0.0
-11.473305514975355,0.2216924910607866,-49.0,0.59,0.07524271844660194,0.05840286054827176
-11.473305514975355,0.2572087658592849,-63.0,0.63,0.0562390158172232,0.0784313725490196
-11.473305514975355,0.2489626556016597,-49.0,0.456,0.09523809523809523,0.08713692946058091
0.8341423865807033,0.2622950819672131,-11.0,0.351,0.1101190476190476,0.06393442622950819
-0.434564857645705,0.2679324894514768,-49.0,0.314,0.1226765799256506,0.05907172995780591
-11.473305514975355,0.2821969696969697,-3.0,0.419,0.1979166666666667,0.06060606060606061
-2.172566196310785,0.1932367149758454,12.0,0.705,0.08840864440078586,0.05152979066022544
-11.473305514975355,0.1843251088534107,-42.0,0.598,0.07363420427553444,0.04644412191582003
-11.473305514975355,0.2708333333333334,39.0,0.639,0.05309734513274336,0.05555555555555555
-9.887002320485408,0.1845878136200717,-11.0,0.683,0.1027777777777778,0.04480286738351254
-11.473305514975355,0.139344262295082,-11.0,0.73,0.04838709677419355,0.04918032786885246
-11.473305514975355,0.2794117647058824,-11.0,0.52,0.1276595744680851,0.06372549019607843
-11.473305514975355,0.1898826979472141,39.0,0.917,0.04016064257028112,0.09237536656891496
-11.473305514975355,0.2565947242206235,-11.0,0.645,0.1343283582089552,0.05275779376498801
-11.473305514975355,0.1898826979472141,29.0,0.917,0.04016064257028112,0.09237536656891496
-8.300281450920801,0.2944038929440389,-63.0,0.428,0.1045454545454545,0.0681265206812652
-11.473305514975355,0.2034383954154728,-63.0,0.659,0.08888888888888889,0.06303724928366762
-11.473305514975355,0.2772727272727273,-11.0,0.477,0.1192307692307692,0.09545454545454546
-11.473305514975355,0.2794117647058824,-49.0,0.52,0.1276595744680851,0.06372549019607843
-11.473305514975355,0.3333333333333334,29.0,0.228,0.1172413793103448,0.08536585365853659
-11.473305514975355,0.2815884476534296,-3.0,0.661,0.14375,0.02888086642599278
5.763374980757988,0.2915980230642504,-42.0,0.285,0.1597633136094675,0.07907742998352553
-11.473305514975355,0.2486631016042781,39.0,0.447,0.1746987951807229,0.09893048128342247
-11.473305514975355,0.3273703041144901,-11.0,0.472,0.04986876640419947,0.1162790697674419
-11.473305514975355,0.2916666666666666,-12.0,0.443,0.03597122302158273,0.08333333333333333
-11.473305514975355,0.2520547945205479,39.0,0.503,0.07142857142857142,0.05753424657534247
-11.473305514975355,0.0,-11.0,0.544,0.09302325581395349,0.0
-2.272994338122887,0.3170731707317073,-7.0,0.559,0.07096774193548387,0.07520325203252033
-7.125584133727522,0.2288135593220339,39.0,0.506,0.08333333333333333,0.09322033898305085
-11.473305514975355,0.3146417445482866,-11.0,0.302,0.1118012422360248,0.08099688473520249
-5.862040677610877,0.3892405063291139,12.0,0.206,0.0472972972972973,0.1075949367088608
-11.473305514975355,0.2764227642276423,-42.0,0.829,0.1050228310502283,0.04878048780487805
-11.473305514975355,0.0,12.0,0.803,0.1042654028436019,0.0
-11.473305514975355,0.2232142857142857,29.0,0.576,0.1317829457364341,0.03571428571428571
-11.473305514975355,0.2565947242206235,-63.0,0.645,0.1343283582089552,0.05275779376498801
-7.455690774763962,0.1759259259259259,29.0,0.706,0.05099778270509978,0.06746031746031746
