feature,observed,boot_mean,ci_low,ci_high
fraction_exposed_nonpolar_total,0.0013631657922824898,0.0018471535292463625,0.0003744316965680552,0.007038608768576235
fraction_exposed_exposed_q,0.0013526181216301988,0.0028533021320865173,0.0005328783852615136,0.013051016690259603
gravy,0.0013474659926767764,0.0025437175963127566,0.0003875138526594857,0.00960029808409122
fraction_exposed_polar_exposed,0.0012788971784023664,0.0019283156325111898,0.0004120234896161261,0.008037131333840897
fraction_exposed_exposed_i,0.0012717717491859933,0.003179869872734552,0.0005609693965097357,0.0145723257186884
nsp_secondary_structure_sheet,0.001261242346090997,0.004942451194302834,0.0006032105665420084,0.0344094066768691
flexibility_mean,0.0012515871764932735,0.0021866892810518536,0.00039762090856154393,0.010386609368658612
frac_aa_t,0.0012447390420764744,0.0032302318225906493,0.00044313832849013926,0.01672672425915131
frac_aa_y,0.0011717122856730222,0.002244738804686164,0.00047833562365736027,0.008544658616592588
fraction_exposed_exposed_p,0.0011295836612575192,0.0036824332000455627,0.0005328606737944365,0.017488599807486887
fraction_exposed_polar_total,0.0010661140378059343,0.0016599287851432397,0.00040373963141975607,0.006489232876029202
secondary_structure_fraction_helix,0.0010372230161838942,0.002601858057696063,0.0004105797865554566,0.011703195239549137
secondary_structure_fraction_turn,0.001019222594685227,0.002590606278408912,0.0004089153500594882,0.01125462434727748
fraction_exposed_nonpolar_exposed,0.0009998071333533203,0.002371323111351055,0.00040122473881111254,0.012027805547925291
frac_aa_g,0.0009887204172683397,0.00373153131636371,0.0005148836713078146,0.021395283049238704
aromaticity,0.0008396067620059116,0.0022833706827169193,0.0004576349396819735,0.008371824108529912
fraction_exposed,0.0008073082286279971,0.001576002243893008,0.0004445440387889463,0.004559083139610326
rsa_mean,0.0007354726372771993,0.001773391340432713,0.00030732573093630975,0.00568642472305709
ligand_carboxylate,0.0005392082685281611,0.0009273493581698027,0.0001311853073060904,0.0032719402244701106
ligand_peg_two_k,0.00036877131389530623,0.0006768620369609127,2.4420999673711408e-05,0.004203692303657103
ligand_peg_five_k,3.0449249969933264e-05,8.570410071855352e-05,2.3631917888728733e-06,0.00036637335038653155
