feature,observed,boot_mean,ci_low,ci_high
incubation_concentration_mg_per_ml,0.00930733564426452,0.013853606030055076,0.010757452850821785,0.017481904726012673
frac_aa_f,0.009266280184485812,0.009571531485468212,0.006888705340091365,0.013470172806491995
fraction_exposed_exposed_t,0.009202392534084464,0.009651750591078288,0.006831682985549141,0.014553880293017567
secondary_structure_fraction_turn,0.009048864450118706,0.00936126409787009,0.006879085858508713,0.01304660532676936
fraction_exposed_exposed_d,0.008701483349370825,0.009570109370531448,0.006866351888532146,0.013590301284891125
fraction_exposed_exposed_c,0.008187725555787041,0.007595962550385877,0.005201617804456376,0.010525830468584841
ligand_pvp,0.0079464311155193,0.012955973343370945,0.010490463386484497,0.01574016814974855
ligand_citrate,0.007416541166061311,0.014124085721407293,0.011193135018300824,0.01741120165496703
core_iron_oxide_au,0.006907888330480732,0.010041487364487912,0.008307455438817871,0.012189816622070936
np_incubation_concentration_mg_per_ml,0.006226813448651646,0.00910771733950608,0.007049697672593377,0.011447982797583963
centrifuged,0.004906089678651412,0.007129359341994647,0.005495415618756418,0.009177924942765656
core_ps,0.004831873397998912,0.0071700684875707415,0.005413271999537227,0.00900379347679267
ligand_carboxylate,0.002782042669986688,0.004306236768922914,0.0030280658688330666,0.005876306823734958
ligand_peg_two_k,0.001768155751595212,0.002870221883698552,0.0016591901304673074,0.004573329688568854
ligand_peg_five_k,0.00044942236561485387,0.0012269375361522413,0.0007184505494663875,0.0019337103677038925
