entry_id,cluster_detect,cluster_enrich,cluster_detect_full,cluster_enrich_full
Q2KIT0,1,0,1,0
P19427,0,0,1,1
A2I7M9,0,0,0,0
P21782,0,0,0,0
Q3SZN0,0,0,0,0
P61356,0,0,0,0
Q3T0X5,0,0,0,1
P02081,2,2,2,2
P55918,0,0,1,1
Q58D31,0,0,0,0
Q29RY7,0,0,0,0
Q32LM2,0,0,0,0
Q9GMB8,0,0,0,0
Q24K22,1,1,1,1
P33072,0,1,0,0
A5PKI3,0,0,0,0
Q28824,0,0,0,0
P15467,1,1,1,1
Q2UVX4,2,2,2,2
Q3SYU2,0,0,0,0
P69678,0,0,0,0
Q3T0R1,0,0,0,0
Q95117,0,0,0,0
Q5E9F7,2,2,2,2
P01035,1,1,1,2
Q28107,2,2,2,2
P62261,0,0,0,1
Q5E9H0,1,1,1,2
P19660,0,0,0,0
P19879,0,0,0,1
P07507,2,2,1,2
P00745,2,2,1,2
P80311,1,1,1,1
P07224,2,2,2,2
P81644,2,2,2,2
Q8SQ28,0,0,0,0
Q2KIG3,2,2,2,2
P22457,0,0,0,1
Q2TA49,1,1,0,1
Q2KIX7,0,0,0,0
Q28146,0,0,0,1
P35541,0,0,0,0
P02510,0,0,0,0
Q28038,1,1,1,1
Q28085,2,2,2,2
P38657,0,0,0,1
Q2KIS7,2,2,2,2
O02659,0,0,0,0
P42916,0,0,0,0
Q2KIY7,0,0,0,0
Q32LP0,1,2,2,2
Q148C9,0,0,0,0
P04815,1,2,2,2
Q3T054,2,2,2,2
Q3SWW8,2,2,2,2
Q5E9R3,1,1,1,2
P07456,1,2,2,2
P28782,0,0,0,0
Q2KJF1,2,0,2,0
P14568,1,1,1,1
P08169,0,0,0,0
A5D989,0,0,0,0
P09867,0,0,0,0
Q2KJ63,2,2,2,2
Q3T052,2,1,2,1
Q0VCM5,2,2,2,2
Q3ZBD9,1,1,1,2
O18738,0,0,0,0
Q3ZCK9,0,0,1,1
Q5E987,0,0,1,1
P22226,2,2,2,2
P00432,0,0,0,1
A7E3W2,1,0,1,1
P06623,0,0,0,0
F1N152,1,1,0,1
Q5KR48,0,0,1,1
