model,feature,gini_observed,gini_boot_mean,gini_boot_ci_low,gini_boot_ci_high,null_mean,null_q95,p_altmann,p_altmann_bh,perm_mean,perm_ci_low,perm_ci_high,perm_ci_excludes_zero
RFC,frac_aa_w,0.011675631591376532,0.009988627722841807,0.007166287186517778,0.015993918580808217,0.010091109799267172,0.011538809990386393,0.04247876061969016,0.09390041821194667,0.000439963614695964,-0.006247788307155289,0.005826385321036628,False
RFC,frac_aa_t,0.0114900865001224,0.009506546242782406,0.006920734088190955,0.013092846484009582,0.010462367260216944,0.011887239812927754,0.10844577711144428,0.21672884487988567,-0.00026562775730407107,-0.006898272683171053,0.005247974800686499,False
RFC,flexibility_min,0.011488955894843705,0.012739176309858031,0.008655465429367045,0.019789126820889104,0.010424088962089406,0.011939488467190533,0.10344827586206896,0.21194280908326324,-0.0004269944857805519,-0.007204306977483396,0.005756829237462498,False
RFC,frac_aa_h,0.011484425435324077,0.010042062488662946,0.0069541202455106425,0.015162780321965,0.010266050238608666,0.011650069163910407,0.07896051974012994,0.16581709145427287,0.00041944216488761123,-0.005321472598316138,0.006779400654746805,False
RFC,fraction_exposed_exposed_n,0.011362710035283155,0.010508694640694835,0.007148870285057525,0.01690214966350025,0.010547616226098339,0.012046091575417259,0.16441779110444776,0.30024118375594805,-0.0010906429696357,-0.011962887067395336,0.006922687295666932,False
RFC,fraction_exposed_polar_total,0.011359362345445125,0.009529565900542634,0.006545098444943533,0.013993527263084473,0.008631704152247092,0.009831690696596777,0.0009995002498750624,0.004938707117029721,0.0011299570395257742,-0.006090391621129396,0.009765303497942416,False
RFC,molecular_weight,0.011203717245965417,0.011501832480996302,0.00754258156951536,0.01699283139202387,0.008817423556018755,0.010037346271650364,0.0034982508745627187,0.014692653673163419,0.002907264192194442,-0.005166109396433411,0.015325092742049587,False
RFC,rsa_std,0.011025816977022604,0.008814944575075792,0.0064913037195329275,0.012257462289765167,0.00946318370875353,0.010759012692326507,0.030484757621189407,0.07113110111610862,0.0009585381432775297,-0.007520491803278784,0.005921923011266664,False
RFC,frac_aa_e,0.010995750044655994,0.009446870330666936,0.006854437594217563,0.012821175859543675,0.00958879188591213,0.01094322465782202,0.047976011994003,0.1033329489101603,0.0003070608116395801,-0.006227307310777927,0.008571344742232836,False
RFC,fraction_exposed_exposed_y,0.010956030004257605,0.01114523923478933,0.0077506476364526625,0.01628536364113443,0.01048754468498394,0.012022626862053236,0.27636181909045476,0.464287856071964,0.0038339543879722837,-0.002498223248130599,0.010276001007302788,False
RFC,flexibility_max,0.01088988039520978,0.010577024145921687,0.007500912718878697,0.01572693842312112,0.010267650417781814,0.011663421252871191,0.21389305347326337,0.37431284357821093,-0.0007371704491153152,-0.008284111843743175,0.009488395861220548,False
RFC,flexibility_std,0.010875728577206908,0.009804856964773755,0.007215749767198843,0.013515529983086546,0.010233403152930696,0.011639769760692162,0.1934032983508246,0.34565695875466523,0.0025868136382277683,-0.005162011351997195,0.00870879293785131,False
RFC,mass,0.010857408646890093,0.011611202829560338,0.007719546157454175,0.017725732763916077,0.008777150094992464,0.009955891205226823,0.0069965017491254375,0.022488755622188907,0.002346295781565928,-0.00933603950364253,0.014349785948123753,False
RFC,frac_aa_v,0.0107777869453844,0.009857744184647906,0.007225982311709485,0.01327697277318843,0.01032050512167207,0.011784375055377523,0.2658670664667666,0.45577211394302847,-0.002401460630257941,-0.009784961090390103,0.0053830269453537674,False
RFC,rsa_mean,0.010687279774321344,0.009761387232788113,0.006716847730737733,0.01423015659038246,0.008673442447545613,0.00985536706984477,0.00399800099950025,0.015992003998001,0.0025077408780871447,-0.006434590413040522,0.010389504636918916,False
RFC,core_iron_oxide,0.010663064613426825,0.01306572276959758,0.010674439947174557,0.01591148169711004,0.018472537607706358,0.020191180044246262,1.0,1.0,0.0028837620904039107,-0.002951970483560276,0.008477690288713811,False
